,UANUM,UANAME,Population,Latitude,Longitude,4 Week Rate,4 Week TRP,CPP,CPM,AdvertisingCost,PredictedCount,ActualCount,PredictedActualDiff,PercentDiff,Households,HouseholdsPerStation
211,5869,"Bay City, MI",70585,43.59444439999999,-83.88888890000001,4540.0,500.0,9.3333333333,9.3333333333,658.7933333309804,1.28,1,0.28,0.14,29987,23427.34375
213,5923,"Bay Minette, AL",7486,30.8827778,-87.77305559999998,7688.333333333299,911.1111111111001,9.0,5.5555555556,41.5888888892216,0.7,1,-0.3,-0.15,2632,3760.0000000000005
220,6058,"Beaumont, TX",147922,30.0858333,-94.1016667,7860.0,914.2857142857001,8.5714285714,2.8571428571,422.63428570794616,4.88,5,-0.12,-0.02,56964,11672.95081967213
225,6139,"Beckley, WV",64022,37.7780556,-81.1883333,2133.75,483.3333333333,4.6666666667,3.3333333333,213.40666666453262,1.42,2,-0.58,-0.193333333,25400,17887.323943661973
234,6335,"Belfair, WA",3331,47.4508333,-122.8261111,151865.05,142.5,261.0,6.6745,22.2327595,0.66,1,-0.34,-0.17,1046,1584.8484848484848
239,6571,"Belle Plaine, MN",6174,44.6227778,-93.7683333,94235.5,156.25,158.125,4.489375,27.71740125,0.8,1,-0.2,-0.1,2302,2877.5
240,6436,"Bellefontaine, OH",13235,40.3611111,-83.75972220000001,1770.0,440.0,4.8,9.6,127.05599999999998,1.34,2,-0.66,-0.22,5230,3902.9850746268653
244,6652,"Bellingham, WA",114473,48.7597222,-122.4869444,7754.166666666701,816.6666666666998,10.0833333333,6.416666666699999,734.535083337149,7.94,8,-0.06,-0.006666666999999999,46412,5845.340050377834
249,6760,"Beloit, WI--IL",63835,42.5083333,-89.0316667,1690.8333333332998,416.6666666667,4.5,2.9166666667000003,186.18541666879452,1.38,1,0.38,0.19,23884,17307.246376811596
254,6841,"Bemidji, MN",14626,47.47361110000001,-94.88,1761.25,300.0,6.0,13.0,190.138,0.82,1,-0.18,-0.09,5775,7042.682926829269
255,6868,"Bend, OR",83794,44.0583333,-121.31416670000002,600.0,200.0,3.0,4.0,335.176,5.8,5,0.8,0.133333333,34377,5927.068965517242
256,6895,"Bennettsville, SC",13006,34.6172222,-79.685,1250.0,600.0,2.0,7.5,97.545,0.24,1,-0.76,-0.38,3856,16066.666666666668
257,6922,"Bennington, VT",12723,42.8780556,-73.19722220000001,5652.9,380.0,15.6,5.9,75.0657,0.22,2,-1.78,-0.593333333,4792,21781.81818181818
262,7138,"Benton Harbor--St. Joseph--Fair Plain, MI",61022,42.08694439999999,-86.4558333,2712.5,350.0,8.0,4.75,289.8545,2.54,2,0.54,0.18,24138,9503.149606299212
263,7030,"Benton, IL",7778,37.9966667,-88.92,2286.0,440.0,5.8,10.8,84.0024,0.74,1,-0.26,-0.13,3371,4555.405405405406
266,7165,"Berea, KY",15590,37.56861110000001,-84.29638890000003,2025.0,300.0,7.0,11.0,171.49,0.9,2,-1.1,-0.36666666700000006,5723,6358.888888888889
267,7192,"Berlin, NH",11159,44.4686111,-71.1855556,2300.0,200.0,12.0,4.0,44.636,3.6,5,-1.4,-0.233333333,4890,1358.3333333333333
281,7624,"Big Rapids, MI",14241,43.6980556,-85.48361109999998,4046.6666666666997,466.6666666667,11.0,14.666666666700001,208.86800000047472,0.28,1,-0.72,-0.36,4415,15767.857142857141
282,7651,"Big Spring, TX",27987,30.079722200000006,-95.4169444,69809.7222222222,145.8333333333,125.9444444444,2.5772222222,72.1287183327114,0.68,1,-0.32,-0.16,8229,12101.470588235294
285,7732,"Binghamton, NY--PA",158084,42.09861110000001,-75.9183333,5100.0,600.0,9.0,16.0,2529.344,5.54,2,3.54,1.18,63875,11529.783393501804
286,7759,"Birch Bay, WA",12737,48.9180556,-122.7433333,7754.166666666701,816.6666666666998,10.0833333333,6.416666666699999,81.7290833337579,1.32,1,0.32,0.16,5453,4131.060606060606
287,7786,"Birmingham, AL",749495,33.5205556,-86.8025,185164.0,1600.0,116.0,8.0,5995.96,24.74,18,6.74,0.35473684200000005,297050,12006.871463217461
293,7921,"Bismarck, ND",81955,46.8083333,-100.7833333,1695.0,200.0,8.0,34.0,2786.47,2.86,1,1.86,0.93,36222,12665.034965034965
296,8002,"Blacksburg, VA",88542,37.2294444,-80.4141667,4595.0,600.0,8.0,5.0,442.71000000000004,6.12,7,-0.88,-0.11,31784,5193.464052287582
301,8164,"Blairsville, PA",7060,40.4311111,-79.2611111,9100.0,833.3333333333002,12.0,16.0,112.96,0.8,1,-0.2,-0.1,2757,3446.25
308,8326,"Bloomfield, IN",2521,39.0269444,-86.9375,7098.5714285714,457.1428571429,17.0,8.857142857100001,22.3288571427491,0.68,1,-0.32,-0.16,1127,1657.3529411764705
310,8407,"Bloomington--Normal, IL",132600,40.5141667,-88.9905556,5566.666666666701,466.6666666667,12.666666666700001,7.333333333300001,972.3999999955801,25.02,33,-7.98,-0.234705882,50076,2001.4388489208634
311,8380,"Bloomington, IN",108657,39.1652778,-86.52638890000001,7098.5714285714,457.1428571429,17.0,8.857142857100001,962.3905714239148,6.58,5,1.58,0.263333333,41987,6381.003039513677
315,8515,"Bluefield, WV--VA",44092,37.2697222,-81.2225,1563.0,430.76923076919996,3.8461538462,3.7692307692,166.1929230755664,1.62,2,-0.38,-0.12666666699999998,18465,11398.148148148148
325,8785,"Boise City, ID",349684,43.61871,-116.214607,11628.571428571398,400.0,30.0,6.1428571429,2148.0588571578437,11.16,14,-2.84,-0.18933333300000002,139039,12458.691756272401
332,8974,"Bonita Springs, FL",310298,26.339444399999994,-81.77888890000001,16800.0,575.0,32.625,5.625,1745.42625,10.78,5,5.78,0.963333333,128831,11950.927643784788
335,9028,"Boone, IA",12793,42.0597222,-93.88,500.0,200.0,3.0,5.0,63.964999999999996,0.82,1,-0.18,-0.09,5266,6421.951219512195
336,9055,"Boone, NC",22763,36.21666670000001,-81.6747222,908.3333333333001,400.0,2.0,12.0,273.156,2.98,4,-1.02,-0.204,8442,2832.8859060402683
343,9271,"Boston, MA--NH--RI",4181019,42.3583333,-71.0602778,266514.0,156.25,441.0625,8.63125,36087.42024375,310.46,258,52.46,0.202548263,1610426,5187.225407459899
345,9298,"Boulder, CO",114591,40.015,-105.27,800.0,400.0,2.0,6.0,687.5459999999999,23.24,24,-0.76,-0.0304,48883,2103.3993115318417
349,9433,"Bowling Green, OH",30738,40.9458333,-81.4833333,110788.5625,156.25,182.25,6.158125,189.28844625,6.18,8,-1.82,-0.20222222199999998,11334,1833.980582524272
357,9622,"Brainerd, MN",19812,46.35805560000001,-94.2005556,2010.0,333.3333333333,6.666666666699999,8.1666666667,161.7980000006604,0.94,1,-0.06,-0.03,8620,9170.212765957447
359,9676,"Branson, MO",22645,36.6436111,-93.2183333,5100.0,1000.0,5.25,7.25,164.17625,1.76,1,0.76,0.38,8984,5104.545454545455
360,9703,"Brattleboro, VT--NH",9980,42.8508333,-72.5583333,31689.0,600.0,53.4,9.0666666667,90.485333333666,1.36,2,-0.64,-0.213333333,4726,3474.9999999999995
364,9811,"Breckenridge, CO",7179,39.4816667,-106.0377778,1550.0,400.0,4.0,7.5,53.8425,0.94,1,-0.06,-0.03,2815,2994.68085106383
367,9892,"Bremen, GA",6516,33.7211111,-85.1455556,1687.5,733.3333333333002,2.8333333333,6.666666666699999,43.440000000217196,0.84,1,-0.16,-0.08,2397,2853.571428571429
369,9946,"Bremerton, WA",198979,47.5675,-122.6313889,151865.05,142.5,261.0,6.6745,1328.0853355000002,15.74,19,-3.26,-0.163,77580,4928.843710292249
374,10162,"Bridgeport--Stamford, CT--NY",923311,40.712784,-74.005941,300105.0,156.25,494.375,9.6025,8866.0938775,67.04,74,-6.96,-0.0928,338056,5042.601431980906
380,10351,"Bristol--Bristol, TN--VA",69501,36.585627,-82.15746800000002,2597.1538461539003,384.6153846154,7.7692307692,4.0,278.004,2.26,3,-0.74,-0.185,29151,12898.672566371682
389,10594,"Brookhaven, MS",10635,31.578888899999995,-90.4405556,1140.0,400.0,3.3333333333,9.3333333333,99.2599999996455,0.34,2,-1.66,-0.553333333,3998,11758.823529411764
402,11026,"Brunswick, GA",51024,31.1497222,-81.4916667,5705.333333333299,533.3333333333001,11.666666666700001,10.3333333333,527.2479999982993,2.04,2,0.04,0.013333333000000001,19130,9377.450980392157
404,11040,"Brunswick, ME",29159,43.9144444,-69.9658333,2300.0,200.0,12.0,4.0,116.636,1.24,3,-1.76,-0.44,12312,9929.032258064517
409,11175,"Buckhead (Bryan County), GA",5168,31.853236,-81.269778,14080.0,380.0,41.5,5.1,26.3568,0.5,1,-0.5,-0.25,1708,3416.0
413,11269,"Buena Vista, VA",6536,37.7341667,-79.35416670000002,1250.0,200.0,6.0,13.0,84.96799999999999,0.72,1,-0.28,-0.14,2803,3893.0555555555557
416,11350,"Buffalo, NY",935906,42.8863889,-78.87861109999999,43041.5833333333,500.0,89.75,6.75,6317.3655,41.7,38,3.7,0.094871795,392314,9408.009592326138
420,11431,"Bullhead City, AZ--NV",48656,35.1477778,-114.5675,6163.6363636364,472.72727272730003,13.5454545455,6.7272727273,327.3221818195088,1.02,1,0.02,0.01,20246,19849.019607843136
425,11593,"Burkburnett, TX",10002,34.0977778,-98.5702778,600.0,200.0,3.0,9.5,95.019,0.7,1,-0.3,-0.15,4152,5931.428571428572
428,11674,"Burlington, IA--IL",29569,40.8075,-91.1127778,2187.5,300.0,7.25,25.5,754.0095,1.82,1,0.82,0.41,12612,6929.670329670329
429,11701,"Burlington, KS",2503,38.1944444,-95.7425,1126.0,466.6666666667,2.6666666667,6.0,15.018,0.26,1,-0.74,-0.37,1073,4126.923076923077
430,11728,"Burlington, NC",119911,36.0955556,-79.4380556,2500.0,200.0,13.0,10.0,1199.1100000000001,3.6,7,-3.4,-0.425,48401,13444.722222222223
431,11755,"Burlington, VT",108740,44.4758333,-73.2125,2478.5714285714002,457.1428571429,5.8571428571,7.7142857143,838.851428572982,15.72,23,-7.28,-0.303333333,44106,2805.7251908396947
432,11782,"Burlington, WI",23534,42.67805560000001,-88.2761111,33750.0,700.0,53.375,4.125,97.07775,2.28,3,-0.72,-0.18,9023,3957.4561403508774
445,12106,"Byron, MN",4864,44.0327778,-92.6452778,22930.0,200.0,114.6666666667,4.6666666667,22.6986666668288,0.62,1,-0.38,-0.19,1702,2745.1612903225805
458,12457,"Calhoun, GA",31493,34.5025,-84.95111109999998,2078.5714285714002,714.2857142857001,3.1428571429,6.2857142857,197.9559999995501,2.38,3,-0.62,-0.155,10295,4325.63025210084
462,12646,"Calistoga, CA",5155,38.5788889,-122.5786111,3712.3333333333003,466.6666666667,10.0,15.0,77.325,0.58,3,-2.42,-0.605,2068,3565.5172413793107
465,12754,"Camarillo, CA",71772,34.2163889,-119.0366667,255338.125,156.25,417.2083333333,3.0004166667,215.3459050023924,6.12,7,-0.88,-0.11,26087,4262.581699346405
470,12835,"Cambridge, MN",14270,45.5727778,-93.2241667,94235.5,156.25,158.125,4.489375,64.06338124999999,0.5,2,-1.5,-0.5,5678,11356.0
484,13221,"Canby, OR",17119,45.2630556,-122.6913889,46783.5,1100.0,46.7,2.1,35.9499,0.58,1,-0.42,-0.21,5900,10172.41379310345
488,13348,"Canton, NY",6489,44.5955556,-75.1694444,500.0,400.0,1.0,1.0,6.489,1.62,2,-0.38,-0.12666666699999998,1725,1064.8148148148148
489,13375,"Canton, OH",279245,40.7988889,-81.37861109999999,2375.0,300.0,8.5,4.0,1116.98,6.32,6,0.32,0.04571428599999999,113904,18022.78481012658
494,13510,"Cape Coral, FL",530290,26.5625,-81.94972220000002,16800.0,575.0,32.625,5.625,2982.88125,12.6,10,2.6,0.23636363600000002,204432,16224.761904761905
497,13564,"Carbondale, CO",7159,39.4022222,-107.2105556,1550.0,400.0,4.0,7.5,53.692499999999995,0.5,3,-2.5,-0.625,2292,4584.0
498,13591,"Carbondale, IL",67821,37.7272222,-89.2166667,3060.0,400.0,8.5714285714,5.2857142857,358.4824285704597,3.46,4,-0.54,-0.10800000000000001,27155,7848.2658959537575
504,13821,"Carlton, OR",3178,45.2944444,-123.1752778,600.0,200.0,3.0,4.0,12.712,0.02,1,-0.98,-0.49,1013,50650.0
506,13850,"Carmel Valley Village, CA",3122,36.4861111,-121.7227778,10606.25,500.0,23.5,5.0,15.61,1.68,1,0.68,0.34,1164,692.8571428571429
511,14023,"Carrollton, GA",42872,33.58,-85.0766667,1687.5,733.3333333333002,2.8333333333,6.666666666699999,285.8133333347624,3.02,4,-0.98,-0.196,14907,4936.092715231788
515,14158,"Carson City, NV",58079,39.1638889,-119.7663889,20514.8125,156.25,33.5,6.166875,358.16593312500004,3.16,5,-1.84,-0.306666667,22192,7022.784810126582
523,14401,"Casa Grande, AZ",51331,32.8794444,-111.7566667,95000.0,300.0,332.5,8.5,436.31350000000003,1.4,1,0.4,0.2,18388,13134.285714285716
529,14570,"Castle Rock, WA",2514,46.2752778,-122.9063889,46783.5,1100.0,46.7,2.1,5.2794,0.74,1,-0.26,-0.13,1214,1640.5405405405406
533,14698,"Cedar City, UT",33200,37.6775,-113.0611111,20065.6875,156.25,33.5,2.11125,70.0935,1.06,1,0.06,0.03,10986,10364.150943396226
534,14752,"Cedar Rapids, IA",177844,42.0083333,-91.6438889,10918.4615384615,938.4615384614999,12.2307692308,5.4615384615,971.301846147006,8.04,6,2.04,0.291428571,73914,9193.283582089553
543,14968,"Central City, NE",2821,41.1158333,-98.0013889,3222.25,1000.0,3.25,5.0,14.105,0.7,1,-0.3,-0.15,1234,1762.857142857143
544,15022,"Centralia, IL",17296,38.525,-89.1333333,983.3333333333001,400.0,2.6666666667,7.0,121.072,0.44,2,-1.56,-0.52,7382,16777.272727272728
546,15076,"Centralia, WA",39517,46.7163889,-122.95305559999998,151865.05,142.5,261.0,6.6745,263.75621650000005,2.8,3,-0.2,-0.05,14911,5325.357142857143
552,15184,"Chambersburg, PA",50887,39.9375,-77.6613889,5187.0,560.0,9.2,10.2,519.0473999999999,1.72,2,-0.28,-0.093333333,20278,11789.534883720931
553,15211,"Champaign, IL",145361,40.1163889,-88.2433333,2500.0,200.0,13.0,6.0,872.1659999999999,12.36,4,8.36,1.672,57574,4658.090614886732
559,15373,"Charles City, IA",7706,43.0663889,-92.6722222,10918.4615384615,938.4615384614999,12.2307692308,5.4615384615,42.086615384319,0.72,1,-0.28,-0.14,3431,4765.277777777778
560,15600,"Charles Town--Ranson, WV",21019,39.295,-77.8608333,2500.0,200.0,12.5,9.0,189.171,1.22,1,0.22,0.11,7692,6304.918032786885
561,15508,"Charleston--North Charleston, SC",548404,32.77638889999999,-79.9311111,4800.0,200.0,24.0,12.0,6580.848,18.64,15,3.64,0.2275,216287,11603.37982832618
565,15481,"Charleston, WV",153199,38.3497222,-81.6327778,3214.25,300.0,11.0,5.0,765.9950000000001,5.12,3,2.12,0.53,66737,13034.5703125
568,15589,"Charlestown, RI",2942,41.38305560000001,-71.6422222,3830.0,466.6666666667,8.3333333333,4.0,11.768,1.94,3,-1.06,-0.265,1363,702.5773195876288
569,15616,"Charlevoix, MI",4179,45.3180556,-85.2583333,4046.6666666666997,466.6666666667,11.0,14.666666666700001,61.29200000013931,0.74,1,-0.26,-0.13,1900,2567.5675675675675
571,15670,"Charlotte, NC--SC",1249442,35.226944399999994,-80.8433333,1053.8461538462,476.9230769231,2.5384615385,4.6153846154,5766.655384634607,61.66,59,2.66,0.044333332999999996,483928,7848.329549140448
572,15724,"Charlottesville, VA",92359,38.02916670000001,-78.47694440000002,8100.0,360.0,24.6,13.2,1219.1388,8.16,8,0.16,0.017777778,36097,4423.651960784314
574,15769,"Chatfield, MN",2604,43.8455556,-92.1888889,1702.8571428572,600.0,3.1428571429,7.4285714286,19.3440000000744,0.74,1,-0.26,-0.13,1069,1444.5945945945946
576,15832,"Chattanooga, TN--GA",381112,35.04555560000001,-85.30972220000002,7438.888888888899,666.6666666666999,14.0,2.8888888889,1100.9902222264568,21.72,31,-9.28,-0.29,152875,7038.443830570903
