Market Name,4 Week Rate,4 Week TRP,CPP,CPM,Latitude,Longitude
Joplin-Pittsburg (DMA),12175,766.6666666667,16.5833333333,5.6666666667,37.424084,-94.700308
Kalispell MT (CBSA),1116.6666666667,333.3333333333,3.6666666667,4,48.191989,-114.316813
Kansas City (DMA),60766.6666666667,466.6666666667,137.3333333333,7.3333333333,39.099727,-94.578567
Kansas City MO-KS (CBSA),79200,1033.3333333333,85,5.1666666667,39.099727,-94.578567
Kearney NE (CBSA),1640,650,2.75,5.5,40.69933,-99.081678
Kennett MO  (CBSA),1687.5,300,6,18,40.69933,-99.081678
Kerrville TX  (CBSA),3000,400,8,15,36.236176,-90.055649
Kill Devil Hills NC (CBSA),2200,200,11,27,36.030723,-75.67601
Killeen-Temple-Fort Hood TX (CBSA),5508.9285714286,642.8571428571,9.7857142857,2.3571428571,31.086873,-97.754137
Kingsport-Bristol-Bristol TN-VA (CBSA),4521.6666666667,400,12.4,3.9333333333,37.431573,-78.656894
Kinston NC (CBSA),3096.4444444445,733.3333333333,4.4444444444,7,35.262664,-77.581635
Kirksville MO (CBSA),3322.7272727273,1000,3.6363636364,13.0909090909,40.194754,-92.58325
Knoxville (DMA),14222.5,533.3333333333,28.6666666667,2.3333333333,35.960638,-83.920739
Knoxville TN (CBSA),10075.25,500,21.5,3,35.960638,-83.920739
Kokomo IN (CBSA),3033.3333333333,266.6666666667,11.6666666667,9,40.486427,-86.133603
La Crosse-Eau Claire (DMA),18778.4615384615,553.8461538462,34.3076923077,7.5384615385,44.811349,-91.498494
Lafayette IN (DMA),2375,300,8.5,4.5,40.416702,-86.875287
Lafayette LA (CBSA),17577.0588235294,870.5882352941,20.1176470588,5.1176470588,30.22409,-92.019843
Lafayette LA (DMA),6624,600,11,2,30.22409,-92.019843
Lafayette-West Lafayette IN (CBSA),2375,300,8.5,4,40.275349,-81.75096
LaGrange GA (CBSA),2750,500,6.25,7.5,33.036222,-85.032244
Lake Charles (DMA),8820.6666666667,1000,8.9166666667,4,30.226595,-93.217376
Lake Charles LA (CBSA),6838.3333333333,1000,7.25,4.3333333333,30.226595,-93.217376
Lake City FL (CBSA),2045,540,4.6,5.8,30.189676,-82.63929
Lake Havasu City-Kingman AZ (CBSA),6163.6363636364,472.7272727273,13.5454545455,6.7272727273,35.189443,-114.053006
Lamesa TX (CBSA),993.3333333333,466.6666666667,2.3333333333,19,32.7376,-101.950992
Lancaster PA (CBSA),19967.4166666667,466.6666666667,42.8333333333,9.9166666667,40.037876,-76.305514
Lansing-East Lansing MI (CBSA),10000,400,25,7,42.761259,-84.542783
Laramie WY (CBSA),950,200,4.6666666667,10,41.311367,-105.591101
Laredo (DMA),8518.75,1000,9,4.125,27.530567,-99.480324
Laredo TX (CBSA),6447.9166666667,1000,6.9166666667,3.5,27.530567,-99.480324
Las Cruces NM (CBSA),5355.5555555556,733.3333333333,7.4444444444,4.3333333333,32.31994,-106.763654
Las Vegas,20065.6875,156.25,33.5,2.11125,36.169941,-115.13983
Las Vegas (DMA),21325.6363636364,472.7272727273,48.2727272727,2.5454545455,36.169941,-115.13983
Las Vegas NM  (CBSA),3200,600,5.5,18,36.169941,-115.13983
Las Vegas-Paradise NV (CBSA),26118.1428571429,585.7142857143,44.9285714286,2.7142857143,36.097195,-115.146665
Laurel MS (CBSA),2289.2857142857,857.1428571429,3.3571428571,4.3571428571,31.694051,-89.130612
Laurinburg NC (CBSA),1250,600,2,7.5,34.774049,-79.462825
Lawrence KS (CBSA),2700,400,7.3333333333,5,38.971669,-95.23525
Lebanon MO (CBSA),1206.25,1000,1.25,3.625,37.680597,-92.663787
Lebanon PA (CBSA),4133.6666666667,466.6666666667,9.6666666667,7.3333333333,40.340925,-76.41135
Levelland TX (CBSA),663.3333333333,266.6666666667,2.3333333333,11.6666666667,33.587316,-102.37796
Lewisburg PA (CBSA),4037.5,1000,4,10,40.964529,-76.88441
Lewisburg TN (CBSA),2712.5,700,4.5,14.75,35.44924,-86.788889
Lewiston ID-WA (CBSA),1080,200,5.5,7,46.400409,-117.001189
Lewistown PA (CBSA),3375,1000,3.5,9,40.59924,-77.571382
Lexington NE (CBSA),1064.6666666667,466.6666666667,2.6666666667,9,40.78084,-99.741505
Lexington-Fayette KY (CBSA),11598.75,650,18.5,4,38.040584,-84.503716
Lincoln IL  (CBSA),750,200,4,9,38.040584,-84.503716
Little Rock-North Little Rock AR (CBSA),13892,740,20.7,3.5,34.833332,-92.253891
Little Rock-Pine Bluff (DMA),21125,500,44,3.75,34.228431,-92.003195
Lock Haven PA (CBSA),2833.3333333333,800,3.6666666667,10,41.137013,-77.446926
Longview TX (CBSA),5990.625,1000,6.625,3.75,32.500704,-94.740489
Los Angeles,255338.125,156.25,417.2083333333,3.0004166667,34.052234,-118.243685
Los Angeles (DMA),284611.363636364,1018.1818181818,301.6818181818,2.1818181818,34.052234,-118.243685
Lubbock (DMA),10021.6,400,26.6,7,33.577863,-101.855166
Lubbock TX (CBSA),8422.6666666667,600,16.0833333333,6.1666666667,33.577863,-101.855166
Ludington MI (CBSA),1837.5,425,5.375,14.5,43.955283,-86.452583
Lumberton NC (CBSA),1983.3333333333,466.6666666667,5.5,3.8333333333,34.61822,-79.008642
Macomb IL (CBSA),2187.5,300,7.25,25.5,40.459208,-90.671797
Madera CA (CBSA),8432,800,10.8333333333,8,36.961336,-120.060718
Madison IN (CBSA),1127.1428571429,457.1428571429,2.7142857143,7,38.735893,-85.379958
Madison WI (CBSA),6718,240,29.4,5.2,43.073052,-89.40123
Madisonville KY (CBSA),2899.5,780,4.3,8.5,37.328101,-87.498888
Manitowoc WI (CBSA),1541.6666666667,266.6666666667,6.3333333333,6.6666666667,44.088606,-87.657584
Mankato-North Mankato MN  (CBSA),1785,200,9,8,44.088606,-87.657584
Marinette WI-MI (CBSA),675,200,3,6,45.099985,-87.630662
Marion IN (CBSA),1225,300,4,4.5,40.558374,-85.659144
Marion NC (CBSA),2100,600,4,8,35.684013,-82.009274
Marion OH (CBSA),2277.2222222222,577.7777777778,4.6666666667,6.6666666667,40.58867,-83.128524
Marquette (DMA),6985,700,10.2,5.6,46.547583,-87.395595
Marquette MI (CBSA),2062.5,750,3,4.4166666667,46.547583,-87.395595
Marshall MN (CBSA),1130,200,6,22,44.448423,-95.791192
Marshall MO (CBSA),1437.5,575,3.125,12,39.123078,-93.19687
Marshall TX (CBSA),1370.8333333333,866.6666666667,1.8333333333,3,32.544871,-94.367418
Marshalltown IA  (CBSA),953.3333333333,400,2,6.3333333333,32.544871,-94.367418
Martinsville VA (CBSA),2812.5,600,5,7,36.691526,-79.872539
Maryville MO (CBSA),2025,300,7.25,32.25,40.346102,-94.872471
Mason City IA  (CBSA),700,300,2.5,3.5,40.346102,-94.872471
Mayfield KY (CBSA),1425,350,4.25,12,36.741724,-88.636715
McAlester OK  (CBSA),1350,200,7,7,36.741724,-88.636715
McComb MS (CBSA),1057,460,2.8,4.7,31.243787,-90.453153
McMinnville TN (CBSA),1023.75,616.6666666667,1.9166666667,4.4166666667,35.686589,-85.780145
Meadville PA (CBSA),8925,300,30,41,41.641444,-80.151448
Memphis,24436.5416666667,156.25,40.25,2.95375,35.149534,-90.04898
Menomonie WI (CBSA),1702.8571428572,600,3.1428571429,7.4285714286,44.875518,-91.919342
Merced CA (CBSA),7955,600,14,6,37.302163,-120.482968
Merrill WI (CBSA),1852.1428571429,1000,2.4285714286,8.4285714286,45.180522,-89.683459
Mexico MO (CBSA),1718.1818181818,509.0909090909,3.7272727273,14.4545454545,39.173065,-91.887271
Miami,76548,156.25,126.875,3.52625,25.76168,-80.19179
Miami OK  (CBSA),666.6666666667,200,3.6666666667,10,25.76168,-80.19179
Miami-Ft Lauderdale,11377.6666666667,75,38.3333333333,1.0733333333,26.099388,-80.13433
Midland MI (CBSA),3980,500,9.25,10,43.615583,-84.247212
Milledgeville GA (CBSA),1125,300,4,7,33.080143,-83.232099
Milwaukee,37083.0625,156.25,60.8125,3.4378125,43.038903,-87.906474
Milwaukee (DMA),40350,575,75.75,4,43.038903,-87.906474
Milwaukee-Waukesha-West Allis WI (CBSA),33750,700,53.375,4.125,43.016681,-88.007031
Minneapolis-St. Paul-Bloomington MN-WI (CBSA),22930,200,114.6666666667,4.6666666667,44.938911,-93.117755
Minneapolis/St. Paul,94235.5,156.25,158.125,4.489375,44.971669,-93.280613
Missoula (DMA),3025,266.6666666667,11.3333333333,4.6666666667,46.878718,-113.996586
Missoula MT (CBSA),2185,480,4.8,3.8,46.878718,-113.996586
Mitchell SD (CBSA),1402.1428571429,571.4285714286,2.8571428571,13.1428571429,43.709428,-98.029799
Moberly MO (CBSA),1425,516.6666666667,3.0833333333,12.6666666667,39.418369,-92.438237
Mobile AL (CBSA),15865.5555555556,933.3333333333,17.8888888889,5.2222222222,30.695366,-88.039891
Mobile-Pensacola (Fort Walton Beach) (DMA),54440.5555555556,911.1111111111,60.7777777778,5.4444444444,30.250639,-88.133507
Modesto CA (CBSA),10606.25,500,23.5,5,37.639097,-120.996878
Monroe LA (CBSA),4438.7272727273,854.5454545455,5.2727272727,3.7272727273,32.509311,-92.119301
Monroe MI (CBSA),4866.6666666667,400,13,10,41.916434,-83.39771
Montgomery AL (CBSA),12192,914.2857142857,13.4285714286,4.4285714286,32.366805,-86.299969
Montgomery-Selma (DMA),24116.5294117647,941.1764705882,28.2941176471,5.3529411765,32.412274,-87.032865
Morehead City NC (CBSA),3267.4285714286,600,5.5714285714,7.4285714286,34.722939,-76.726044
Morgan City LA (CBSA),1829,1100,1.756097561,3.9024390244,29.699375,-91.20677
Morgantown WV (CBSA),4407.75,375,12.25,7.75,39.629526,-79.955897
Morristown TN (CBSA),1675.625,375,4.5,4.125,36.213981,-83.294892
Moscow ID (CBSA),1360,500,2.75,6,46.732387,-117.000165
Mount Pleasant MI (CBSA),4046.6666666667,466.6666666667,11,14.6666666667,43.597807,-84.767514
Mount Vernon IL (CBSA),2286,440,5.8,10.8,38.317271,-88.90312
Mountain Home AR  (CBSA),596.6666666667,533.3333333333,1.3333333333,2.6666666667,38.317271,-88.90312
Mountain Home ID (CBSA),840,400,2,8,43.13295,-115.691197
Murray KY (CBSA),1706.25,300,5.5,11.5,36.610333,-88.314761
Muscatine IA  (CBSA),3250,200,16,31,36.610333,-88.314761
Muskegon-Norton Shores MI (CBSA),5385.7142857143,900,6.7142857143,4.1428571429,43.168904,-86.263946
Muskogee OK (CBSA),1575,250,6.5,8.75,35.747877,-95.369691
Nacogdoches TX (CBSA),2000,836.3636363636,2.4545454545,4,31.603513,-94.655487
Naples-Marco Island FL (CBSA),16333.3333333333,200,82,28,25.995001,-81.672501
Nashville (DMA),39200.7692307692,476.9230769231,83.3846153846,3.7692307692,36.162664,-86.781602
Nashville-Davidson--Murfreesboro TN (CBSA),21600,500,43.9375,2.8125,36.016739,-86.563252
Natchez MS-LA (CBSA),2173,883.3333333333,2.75,5.75,31.560444,-91.403171
Natchitoches LA (CBSA),2400,840,3.6,9.2,31.76072,-93.086275
New Bern NC (CBSA),4021.0909090909,690.9090909091,6.0909090909,5.3636363636,35.108493,-77.044114
New Castle IN (CBSA),633.3333333333,433.3333333333,2.1666666667,3.6666666667,39.928935,-85.370248
New Haven-Milford CT (CBSA),11742.5,200,59,8.25,41.230698,-73.064036
New Orleans (DMA),20000,200,100,7,29.951066,-90.071532
New Orleans-Metairie-Kenner LA (CBSA),15000,200,75,8,29.98453,-90.204452
New Ulm MN (CBSA),1388.3333333333,466.6666666667,3,12,44.314439,-94.459302
New York (Northern New Jersey),300105,156.25,494.375,9.6025,40.712784,-74.005941
New York (Westchester County),30383.3,100,76.9,10.375,40.712784,-74.005941
Newport TN (CBSA),1426.6666666667,300,4.8333333333,11,35.967041,-83.187658
Niles-Benton Harbor MI (CBSA),2712.5,350,8,4.75,42.104359,-86.445355
Norfolk NE (CBSA),1369.5,600,2.5,5,42.032723,-97.413755
North Port-Sarasota-Bradenton FL (CBSA),4375,300,15,2,27.044224,-82.235925
North Vernon IN (CBSA),1057.5,500,2.5,8,39.006165,-85.62358
Norwich-New London CT (CBSA),3830,466.6666666667,8.3333333333,4,41.524265,-72.07591
Ocala FL (CBSA),6266.6666666667,633.3333333333,10.6666666667,3.6666666667,29.187199,-82.140092
Oil City PA (CBSA),2855,760,4,8.8,41.433948,-79.706441
Okeechobee FL  (CBSA),1500,300,5,9,41.433948,-79.706441
Oklahoma City (DMA),29398.3333333333,450,79.3333333333,5.25,35.46756,-97.516428
Oklahoma City OK (CBSA),22535,560,42.3,3.8,35.46756,-97.516428
Olean NY  (CBSA),7400,533.3333333333,14.3333333333,19.3333333333,35.46756,-97.516428
Omaha-Council Bluffs NE-IA (CBSA),12329.1666666667,600,21.5,2.75,41.218364,-95.817993
Ontario OR-ID  (CBSA),900,200,5,6,41.218364,-95.817993
Opelousas-Eunice LA (CBSA),2327.2727272727,727.2727272727,3.0909090909,4.7272727273,30.494367,-92.417632
Orlando,92097.1875,156.25,152.6875,4.960625,28.538336,-81.379236
Orlando-Daytona Beach-Melbourne (DMA),23625,250,90.25,3,28.083627,-80.608109
Orlando-Kissimmee FL (CBSA),9310,320,30,1.6,28.283623,-81.40896
Oshkosh-Neenah WI (CBSA),1696.4285714286,457.1428571429,4.1428571429,2.2857142857,44.200397,-88.517852
Oskaloosa IA  (CBSA),800,400,2,6,44.200397,-88.517852
Oxford MS (CBSA),4020,720,5.8,9.8,34.366495,-89.519248
Oxford NC (CBSA),2750,600,5,6,36.3107,-78.590835
Oxnard-Thousand Oaks-Ventura CA  (CBSA),13125,300,44,5,36.3107,-78.590835
Ozark AL (CBSA),2700,200,14,21,31.459058,-85.640493
Paducah KY-IL (CBSA),3150,555.5555555556,6.2222222222,6.8888888889,37.083389,-88.600048
Paducah-Cape Girardeau-Harrisburg (DMA),25125,485.7142857143,52.1428571429,6.5714285714,40.273191,-76.886701
Palatka FL (CBSA),2250,400,6,8,29.64858,-81.637582
Palestine TX (CBSA),1260,520,2.8,4.2,31.762115,-95.630789
Palm Bay-Melbourne-Titusville FL (CBSA),20001,720,28.6,6.2,28.612219,-80.807554
Pampa TX  (CBSA),1111.25,500,2,9.5,28.612219,-80.807554
Panama City (DMA),13364.5652173913,713.0434782609,20,6.2173913043,8.983333,-79.516667
Panama City-Lynn Haven FL (CBSA),9822.25,1100,9.925,6,30.212401,-85.649614
Paragould AR (CBSA),1410,840,2,5.6,36.058402,-90.497329
Parkersburg-Marietta-Vienna WV-OH (CBSA),2315,200,12,7,39.263721,-81.555488
Pensacola-Ferry Pass-Brent FL (CBSA),20907.1428571429,971.4285714286,22.0714285714,5.8571428571,30.471042,-87.231054
Philadelphia,136293.25,156.25,224.1666666667,3.5841666667,39.952584,-75.165222
Philadelphia (DMA),75000,300,255,4,39.952584,-75.165222
Phoenix,123595.375,156.25,206.25,5.26375,33.448377,-112.074037
Phoenix AZ (CBSA),73500,433.3333333333,193.6666666667,5.8333333333,33.448377,-112.074037
Phoenix AZ (DMA),95000,300,332.5,8.5,33.448377,-112.074037
Picayune MS (CBSA),2669.1666666667,750,4.3333333333,8.25,30.525469,-89.679508
Pierre SD (CBSA),1695,200,8,34,44.368316,-100.350967
Pine Bluff AR (CBSA),1500,500,3.5,3,34.228431,-92.003195
Pittsburg KS (CBSA),895.8,360,3.2,6.2,37.410884,-94.70496
Pittsburgh (DMA),59475,650,106,4.5,40.440625,-79.995886
Pittsburgh PA (CBSA),115932.411764706,905.8823529412,135.4705882353,7.1176470588,40.440625,-79.995886
Pittsfield MA (CBSA),6766.6666666667,800,9,8,42.450085,-73.245382
Plainview TX (CBSA),1287.375,475,3.25,8,34.184794,-101.706842
Platteville WI (CBSA),1200,200,6,8,42.73416,-90.478462
Plattsburgh NY (CBSA),2478.5714285714,457.1428571429,5.8571428571,7.7142857143,44.699487,-73.452912
Plymouth IN (CBSA),1316.6666666667,400,3.6666666667,6.6666666667,41.343655,-86.309728
Point Pleasant WV-OH (CBSA),1231.6666666667,200,6,9.3333333333,38.844525,-82.137089
Ponca City OK  (CBSA),2800,400,7,16,38.844525,-82.137089
Poplar Bluff MO (CBSA),3659.0909090909,636.3636363636,7,15.2727272727,36.756999,-90.392888
Port Clinton OH (CBSA),1620,500,3.75,7.5,41.511995,-82.937692
Port St. Lucie-Fort Pierce FL (CBSA),9913.75,500,20,5.5,27.48397,-80.373589
Portland,59847.625,156.25,103.125,4.13,45.523062,-122.676482
Portland OR (DMA),46783.5,1100,46.7,2.1,45.523062,-122.676482
Portsmouth OH (CBSA),989,250,4.25,5.5,38.731743,-82.997674
Pottsville PA  (CBSA),2400,200,12,10,38.731743,-82.997674
Providence-New Bedford (DMA),19200,500,42.25,3.25,41.667668,-70.904307
Pueblo CO (CBSA),3698.3333333333,466.6666666667,8.5833333333,5.25,38.254447,-104.609141
Pullman WA  (CBSA),1700,300,6,11,38.254447,-104.609141
Punta Gorda FL (CBSA),4860,300,16,9,26.929784,-82.045366
Quincy IL-MO (CBSA),5716.6666666667,433.3333333333,14.8333333333,18.1666666667,39.935602,-91.409873
Racine WI  (CBSA),2600,200,13,7,42.252877,-71.002271
Raleigh-Cary NC (CBSA),50100,400,115.5,11.5,35.794842,-78.749778
Rapid City (DMA),10581.875,675,19.75,9.125,44.080543,-103.231015
Rapid City SD  (CBSA),7765.7142857143,1028.5714285714,9,8.4285714286,44.080543,-103.231015
Reading PA (CBSA),16605,760,23.9,7.3,40.335648,-75.926875
Redding CA (CBSA),3151,300,10.5,4,40.58654,-122.391675
Reno,20514.8125,156.25,33.5,6.166875,39.529633,-119.813803
Reno NV (DMA),52500,400,131,24,39.529633,-119.813803
Rexburg ID (CBSA),630,300,2,6,43.82311,-111.792424
Richmond IN (CBSA),1266.6666666667,433.3333333333,3.3333333333,3.8333333333,39.828937,-84.890238
Richmond VA (CBSA),20033.75,500,41.25,4.0833333333,37.540725,-77.436048
Riverside-San Bernardino-Ontario CA (CBSA),29980,560,79.2,2.2,34.063344,-117.650888
Riverton WY (CBSA),1083.3333333333,200,5.3333333333,12.3333333333,43.024959,-108.380104
Roanoke Rapids NC (CBSA),3197.1428571429,742.8571428571,4.4285714286,6.4285714286,36.46154,-77.654146
Roanoke VA (CBSA),8490.2777777778,744.4444444444,12.6111111111,4.5555555556,37.27097,-79.941427
Roanoke-Lynchburg (DMA),16781.25,500,34.75,3.75,37.290338,-80.034526
Rochester NY (CBSA),37325,733.3333333333,52.75,5.9166666667,43.16103,-77.610922
Rochester NY (DMA),35908.3333333333,733.3333333333,51,5.8333333333,43.16103,-77.610922
Rock Springs WY (CBSA),950,200,4.5,9.5,41.587464,-109.202904
Rockford IL (CBSA),8437.5,575,17.125,6.125,42.271131,-89.093995
Rockingham NC (CBSA),1350,300,5,7,34.93932,-79.773946
Rocky Mount NC (CBSA),5378.25,750,7.375,5.625,35.93821,-77.790534
Rolla MO (CBSA),2653.8461538462,676.9230769231,4.3846153846,8.8461538462,37.948544,-91.77153
Rome GA (CBSA),2835.5263157895,884.2105263158,3.7368421053,3.9473684211,34.257038,-85.164673
Roswell NM (CBSA),1700,500,3.5,6.5,33.394266,-104.523024
Russellville AR (CBSA),1600,720,2.4,3,35.278417,-93.133786
Sacramento,72659.7083333333,156.25,119.5,3.6733333333,38.581572,-121.4944
Saginaw-Saginaw Township North MI (CBSA),7970,800,10.5,6.25,43.46009,-84.006109
Saint Joseph (DMA),5982.1428571429,600,12.1428571429,10.5714285714,39.767458,-94.846681
Salina KS  (CBSA),600,200,3,4,44.942898,-123.035096
Salisbury,11299.875,156.25,18.8333333333,5.6225,51.068785,-1.794472
San Angelo TX (CBSA),3558.3333333333,766.6666666667,5.5,5,31.463772,-100.437037
San Antonio,29200.28125,156.25,47.78125,2.4753125,29.424122,-98.493628
San Antonio (DMA),56840,840,90,4.6,29.424122,-98.493628
San Antonio TX (CBSA),59400,840,85.6,5,29.424122,-98.493628
San Diego,63782.875,156.25,104.5,4.1866666667,32.715738,-117.161084
San Diego (DMA),62375,300,212,7.5,32.715738,-117.161084
San Diego-Carlsbad-San Marcos CA (CBSA),62375,300,212,7.5,33.120028,-117.207714
San Francisco,114990.576923077,149.0384615385,193.8846153846,3.4334615385,37.77493,-122.419416
San Luis Obispo-Paso Robles CA  (CBSA),7500,400,19,6,18.466334,-66.105722
Sanford NC (CBSA),1200,400,3,6,35.479876,-79.180299
Savannah (DMA),14080,380,41.5,5.1,32.083541,-81.099834
Savannah GA (CBSA),9938.4615384615,723.0769230769,18.5384615385,5.0769230769,32.083541,-81.099834
Sayre PA (CBSA),5100,600,9,16,41.978963,-76.515499
Scottsbluff NE (CBSA),1150,200,5.6666666667,13.6666666667,41.866634,-103.667166
Scranton--Wilkes-Barre PA (CBSA),16392.8571428571,742.8571428571,20.7857142857,4.5,41.336246,-75.731149
Searcy AR (CBSA),1350,500,3,4.5,35.24682,-91.733685
Seattle/Tacoma,151865.05,142.5,261,6.6745,47.45025,-122.308817
Sebastian-Vero Beach FL (CBSA),6000,200,30,20,27.813598,-80.493329
Sebring FL (CBSA),4224.0833333333,733.3333333333,6.1666666667,6.25,27.495592,-81.440907
Selinsgrove PA (CBSA),3400,1000,3.5,10,40.798974,-76.862193
Selma AL (CBSA),2568,800,3,10,32.407359,-87.021101
Sevierville TN (CBSA),2216.6666666667,466.6666666667,5,7,35.868146,-83.561835
Seymour IN (CBSA),1470,457.1428571429,3.5714285714,7.5714285714,38.95922,-85.890255
Shawano WI Micro (CBSA),1305,360,4,6.8,44.782206,-88.608992
Shawnee OK (CBSA),1460,266.6666666667,6.6666666667,6.3333333333,35.327293,-96.9253
Sheboygan WI (CBSA),3758.8888888889,755.5555555556,6,5.2222222222,43.750828,-87.71453
Shelby NC (CBSA),2100,600,4,5,35.292351,-81.535646
Shelbyville TN  (CBSA),1053.8461538462,476.9230769231,2.5384615385,4.6153846154,35.292351,-81.535646
Sheridan WY (CBSA),816.6666666667,200,4,11.3333333333,44.797194,-106.956179
Shreveport (DMA),16946.875,925,20.4375,2.625,32.525152,-93.750179
Shreveport-Bossier City LA (CBSA),8265,812.5,12.4375,3.1875,32.525152,-93.750179
Sidney OH (CBSA),3577.5,1020,4.4,8.1,40.284216,-84.155499
Sikeston MO (CBSA),1955,400,5.6,12.6,36.876719,-89.587858
Silver City NM (CBSA),2142.8571428572,714.2857142857,3.2857142857,10.7142857143,32.770075,-108.280326
Sioux Falls (Mitchell) (DMA),23929,560,50.8,9,43.544596,-96.731103
Sioux Falls SD  (CBSA),8481.6666666667,800,14.5555555556,6.2222222222,43.544596,-96.731103
Snyder TX (CBSA),852.1666666667,300,3,14.3333333333,32.717886,-100.917618
Somerset KY (CBSA),1200,400,3,4,37.092022,-84.604108
Somerset PA (CBSA),10437.8333333333,866.6666666667,11.3333333333,18,40.008411,-79.078083
Spearfish SD (CBSA),1090,200,5,15,44.490817,-103.85937
Spokane (DMA),22555.5555555556,400,60.5555555556,6.3333333333,47.65878,-117.426047
Spokane WA (CBSA),14843.1818181818,727.2727272727,22.2727272727,5.0909090909,47.65878,-117.426047
Springfield MA (CBSA),26710,550,49.4375,9.1875,42.101483,-72.589811
Springfield MO (CBSA),6349.3636363636,654.5454545455,11.8181818182,3.0909090909,37.208957,-93.292299
Springfield MO (DMA),19730.7692307692,800,28.0769230769,3.0769230769,37.208957,-93.292299
Springfield OH (CBSA),5083.3333333333,716.6666666667,7.25,5.9166666667,39.924227,-83.808817
Springfield-Holyoke (DMA),31689,600,53.4,9.0666666667,42.217209,-72.626944
St. Cloud MN (CBSA),4944.4444444445,422.2222222222,12.2222222222,6.1111111111,45.557945,-94.16324
St. Joseph MO-KS (CBSA),5340.5714285714,671.4285714286,10.5,9,39.767458,-94.846681
St. Louis MO-IL (CBSA),31190,280,110.6,5.2,38.627003,-90.199404
Starkville MS (CBSA),2447.25,650,5.25,8,33.4504,-88.818387
State College PA (CBSA),6750,400,17,12.5,40.793395,-77.860001
Staunton-Waynesboro VA (CBSA),3545.8333333333,400,9.5,7.8333333333,38.068469,-78.889468
Sterling IL  (CBSA),1250,200,6,13,38.068469,-78.889468
Stevens Point WI (CBSA),4581,1200,4.0666666667,6.3333333333,44.523579,-89.574563
Stillwater OK (CBSA),3550,400,10.5,11,36.115607,-97.058368
Sulphur Springs TX (CBSA),1195,600,2.6,6.4,33.138448,-95.601067
Summerville GA (CBSA),1600,1200,1.2,6.6,34.480642,-85.347734
Sweetwater TX (CBSA),766.6666666667,466.6666666667,2.3333333333,13,32.470952,-100.405938
Syracuse (DMA),41500,1000,43.5,5.75,43.048122,-76.147424
Syracuse NY (CBSA),15750,750,21,4,43.048122,-76.147424
Tahlequah OK  (CBSA),2875,600,5.5,10.5,43.048122,-76.147424
Talladega-Sylacauga AL (CBSA),7073.3333333333,800,9.3333333333,10,33.173172,-86.251641
Tallahassee FL (CBSA),8700,580,16.6,4.9,30.438256,-84.280733
Tampa,72650.4375,156.25,120.125,3.354375,27.950575,-82.457178
Tampa-Saint Petersburg (Sarasota) (DMA),58306.8888888889,466.6666666667,129.4444444444,3.2222222222,27.84987,-82.482768
Tampa-St. Petersburg-Clearwater FL (CBSA),12025,200,60,3,28.036547,-82.681172
Taylorville IL (CBSA),2150,300,7.5,20.5,39.548935,-89.294533
Terre Haute (DMA),5322.5,540,11.3,3.3,39.466703,-87.413909
Terre Haute IN (CBSA),2619.4444444445,555.5555555556,5.3333333333,3,39.466703,-87.413909
The Villages FL (CBSA),3110,320,10.6,7.6,28.927019,-82.003761
Thomasville GA  (CBSA),1650,350,5.75,10.25,28.927019,-82.003761
Tiffin OH (CBSA),1730,500,3.75,7,41.114499,-83.177975
Toledo (DMA),24860.5,540,48,5.5,41.663938,-83.555212
Toledo OH (CBSA),16866.5384615385,784.6153846154,20,3.9230769231,41.663938,-83.555212
Topeka (DMA),6481,300,22,5.5,39.055824,-95.689018
Topeka KS (CBSA),4412.4,460,10.7,5.3,39.055824,-95.689018
Tri-Cities TN-VA (DMA),8906.0666666667,400,23.4,3.4,36.450067,-82.531105
Troy AL (CBSA),1347.7142857143,457.1428571429,3.1428571429,8.1428571429,31.808768,-85.969951
Tucson,23490.7619047619,142.8571428571,40.5714285714,4.4504761905,32.221743,-110.926479
Tulsa OK (CBSA),15211.7647058824,564.7058823529,29.4705882353,3.6470588235,36.153982,-95.992775
Tupelo MS (CBSA),8135.7142857143,914.2857142857,9.2857142857,7.2857142857,34.257607,-88.703386
Tuscaloosa AL (CBSA),9364.75,1100,9.35,4.1,33.209841,-87.569173
Twin Falls ID (CBSA),2050,350,6.5,6,42.562967,-114.460871
Urbana OH (CBSA),1025,300,3.5,10,40.108391,-83.75243
Van Wert OH (CBSA),1841.25,700,3,9,40.869493,-84.584122
Vermillion SD  (CBSA),1130,200,6,51,40.869493,-84.584122
Vernal UT  (CBSA),700,200,3.5,13,42.779442,-96.92921
Vicksburg MS (CBSA),2908.3333333333,800,4,8,32.352646,-90.877882
Victoria TX (CBSA),1590,520,3,3.8,28.805267,-97.003598
Vincennes IN (CBSA),1144.4444444445,511.1111111111,2.5555555556,6.5555555556,38.677269,-87.528633
Virginia Beach-Norfolk-Newport News VA-NC (CBSA),29750,300,100.5,7,35.759573,-79.0193
Visalia-Porterville CA (CBSA),11370.125,800,14.625,4.5,36.06523,-119.016768
Wabash IN (CBSA),1550,400,4.6666666667,14.3333333333,40.797821,-85.820541
Waco TX (CBSA),3440,626.6666666667,6,2.4666666667,31.549333,-97.14667
Waco-Temple-Bryan (DMA),9184.6153846154,569.2307692308,17.5384615385,2.1538461538,31.549333,-97.14667
Walla Walla WA  (CBSA),1260,200,6,12,31.549333,-97.14667
Wapakoneta OH (CBSA),1913.3333333333,733.3333333333,3.3333333333,7.1666666667,40.567827,-84.193559
